Feature,Importance
WC_rel,0.41594204
WC,0.24055967
Content_Depth,0.04759362
Relevance_rank,0.017604016
domain_freq,0.01707194
num_sources,0.016514827
Influence_Relevance_Match,0.012598853
Relevance_x_QueryType,0.0100338645
Influence_x_Position,0.009426963
query_type_other,0.008268067
Query_Competition,0.008180472
Influence_percentile,0.008053607
Authority_Score,0.007849646
Quality_Advantage,0.007809036
Engagement_Potential,0.0076482673
Domain_Consistency,0.007523217
Overall_Score,0.0070705335
Adjusted_Quality,0.006771908
Click_Probability,0.0067463294
Relevance_x_Uniqueness,0.0064886287
query_length,0.006250662
Relative_Quality,0.0062303985
Diversity,0.0062090964
Uniqueness_rank,0.006164799
Position_Score,0.0061520822
Subjective_Count,0.006123343
Domain_Influence,0.0058981045
Influence_Advantage,0.00569941
Quality_Score,0.005622802
Influence_zscore,0.0054254574
Uniqueness_zscore,0.0053367163
Influence,0.005275074
Weighted_Relevance,0.0051854467
Subjective_Position,0.0051335525
Relevance_zscore,0.005107993
Uniqueness_x_Relevance,0.00491131
Uniqueness,0.004635773
query_type_opinion,0.0045058546
Uniqueness_percentile,0.0041441196
Click_Prob_rank,0.0039788997
Influence_rank,0.0037283185
query_type_list,0.0037064007
Relevance_percentile,0.0036309266
Relevance,0.003622581
Quality_Score_percentile,0.0029855235
Top_Position,0.002442125
High_Influence,0.0019058026
Quality_Position_Match,0.0001178456
High_Quality,0.00011407287
Domain_Has_History,0.0
